Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
Ramos,Full,2,1,1,0.866906475,5.23088249,24.28336143,22.79026051,"[[ 58   1   0   0   0   0]
 [  1  71   8   1   0   0]
 [  1   9 125   7   4   0]
 [  0   0  10  83   6   2]
 [  0   0   2  10  56   6]
 [  0   0   1   1   4  89]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868, 15.86409, ..., -4.94783,  2.95849],
       [15.86409, 13.0373 , ..., -3.91905,  2.33706],
       ...,
       [-4.94783, -3.91905, ...,  1.45707, -0.88126],
       [ 2.95849,  2.33706, ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,2,1,0.859459459,5.167825959,23.64726067,19.81741211,"[[ 58   0   0   1   0   0]
 [  2  75   3   0   0   0]
 [  0  13 128   2   2   1]
 [  0   0   9  80  12   0]
 [  0   0   2  15  53   4]
 [  0   0   2   1   9  83]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,3,1,0.857657658,5.181844204,21.78833485,24.5503517,"[[ 59   0   0   0   0   0]
 [  0  70   9   0   0   1]
 [  0   6 130   8   2   0]
 [  0   0   9  75  15   2]
 [  0   0   2   9  57   6]
 [  0   0   2   1   7  85]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., 17.92559,  2.95849],
       [ 4.50734,  4.29267, ...,  4.47669,  1.2049 ],
       ...,
       [17.92559,  4.47669, ..., 16.57804,  2.78144],
       [ 2.95849,  1.2049 , ...,  2.78144,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,4,1,0.861261261,5.179026158,23.43406677,24.54882431,"[[ 57   2   0   0   0   0]
 [  0  69  11   0   0   0]
 [  0   9 133   4   0   0]
 [  0   0   8  80  11   2]
 [  0   0   1  11  55   7]
 [  0   0   1   3   7  84]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,5,1,0.844765343,5.096401262,24.99682903,26.08552849,"[[ 58   1   0   0   0   0]
 [  1  72   7   0   0   0]
 [  1  11 125   3   5   1]
 [  0   0  11  77  13   0]
 [  0   0   1   9  55   9]
 [  0   0   1   1  11  81]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., 17.92559, -4.94783],
       [ 4.50734,  4.29267, ...,  4.47669, -1.94691],
       ...,
       [17.92559,  4.47669, ..., 16.57804, -4.64509],
       [-4.94783, -1.94691, ..., -4.64509,  1.45707]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,6,1,0.862815884,5.163969826,20.97976208,26.54407184,"[[ 59   0   0   0   0   0]
 [  3  68   8   0   1   0]
 [  0   5 136   5   0   0]
 [  1   0  11  75  14   0]
 [  0   0   1  12  50  11]
 [  0   0   0   0   4  90]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,7,1,0.839059675,5.026632169,21.48573399,24.56019942,"[[ 58   1   0   0   0   0]
 [  0  69   9   2   0   0]
 [  1   6 134   4   1   0]
 [  0   2  11  75  12   1]
 [  0   0   1  14  47  11]
 [  0   0   0   4   9  81]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,8,1,0.865942029,5.220706771,21.87283039,20.75963771,"[[ 59   0   0   0   0   0]
 [  0  74   5   1   0   0]
 [  0  11 125   8   1   0]
 [  0   0   2  87   9   3]
 [  0   0   0  19  52   2]
 [  0   0   0   3  10  81]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,9,1,0.851179673,5.13374498,27.48405933,23.80368101,"[[ 59   0   0   0   0   0]
 [  0  72   7   1   0   0]
 [  1  15 121   5   3   0]
 [  0   1   8  74  13   4]
 [  0   0   0   9  54  10]
 [  0   0   0   0   5  89]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 4.29267,  9.52219, ..., -1.94691,  1.2049 ],
       [ 9.52219, 71.14744, ..., -9.67758,  5.79801],
       ...,
       [-1.94691, -9.67758, ...,  1.45707, -0.88126],
       [ 1.2049 ,  5.79801, ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,3,0,1,0.850719424,5.113688002,24.99792576,18.7684739,"[[ 59   0   0   0   0   0]
 [  0  69  11   0   0   1]
 [  1   8 129   5   2   1]
 [  0   0   5  81  14   1]
 [  0   0   4  13  49   8]
 [  0   0   1   4   4  86]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 7.84072, 21.28116, ..., -1.28417, 19.71878],
       [21.28116, 68.84758, ...,  2.49044, 60.08569],
       ...,
       [-1.28417,  2.49044, ...,  3.43146,  0.30926],
       [19.71878, 60.08569, ...,  0.30926, 53.47898]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,3,1,1,0.854316547,5.139068003,20.30944824,21.27084798,"[[ 56   3   0   0   0   0]
 [  0  74   7   0   0   0]
 [  0   7 133   4   2   0]
 [  1   0  11  75  12   2]
 [  0   0   0  11  56   7]
 [  0   0   2   7   5  81]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 7.84072, 21.28116, ..., -1.28417, 19.71878],
       [21.28116, 68.84758, ...,  2.49044, 60.08569],
       ...,
       [-1.28417,  2.49044, ...,  3.43146,  0.30926],
       [19.71878, 60.08569, ...,  0.30926, 53.47898]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
