Avar,ASkew,RSkew,GSkew,Bvar,GraySkew,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Class
5574.185720306761,-0.7356223343761973,-0.7259455237383481,-0.7311695906852101,5522.162973009766,-0.7329190581396976,0.31316257842369344,0.6868374215763066,67.37210240848731,166.10003866097054,112.38205380577429,166.18958640532628,0.4930087277212656,0.4193233366312391,0.4897897235444157,0.4198075898197224,0.2098327957489495,0.2067632087538836,0.20868974322305625,0.20671072278836786,Dirty (80-100)
7961.160556920899,0.31447888513538,0.29877450408918715,0.25673782130515194,6614.717662289228,0.269224748358546,0.5807052173189801,0.41929478268102,131.8973220788408,218.88132520485487,101.96576447325384,203.17565696729397,0.608648255011245,0.5579990301130977,0.6091448371893448,0.5558002842820575,0.3970086920933544,0.3959077949833403,0.3967309769635258,0.3959777576144855,Dirty (80-100)
3501.514008598916,0.018020837393352508,0.613365147445607,0.12222984058015393,3619.175285335497,0.16130387390670475,0.8356742003636832,0.1643257996363168,333.2228886824954,399.0429950345723,107.62554427200169,459.49153161194863,0.5177289951738888,0.4488576146064511,0.5504194849777644,0.44609721483889797,0.12513046796503488,0.12220249194011384,0.1273062470629848,0.12210177285193695,Clean
6347.19821138024,1.1335856432422633,1.133253084305082,1.113301929471706,5302.0821464561795,1.115194683811916,0.7482623146084685,0.2517376853915315,99.30202351312636,172.12268328907243,95.35401197282263,145.41382148175174,0.7200549299529665,0.6938268877217785,0.7240712124690942,0.6918101221471649,0.5907285989459921,0.5900850425181309,0.5904919251075861,0.5902524940776733,Dirty (80-100)
1528.9522952609516,-0.4117520880390624,-0.345611805313378,-0.3619048642271244,1172.9045702161184,-0.3707145328395696,0.4526324163377251,0.5473675836622749,116.96233737801272,257.64699462886,153.57186314671517,241.31011406555453,0.258503418914834,0.17840664492500788,0.2477743378811355,0.18065902960253336,0.02737652027346469,0.024382942234644843,0.027031777725256837,0.024519381113157757,Dirty (20-40)
1921.3995308575973,-0.7440207862610924,-0.6969476792102783,-0.6709046802102308,1520.8359736453626,-0.6914081151358626,0.3395302010950061,0.6604697989049938,194.33113979497685,367.55474193863955,212.70411434431682,359.8387672565442,0.24357736410327585,0.17375067863107074,0.24182219394425175,0.17520070666004034,0.033486166147168143,0.03054657196161132,0.03345327792873869,0.03066895634149521,Dirty (40-60)
3569.825926829159,0.96725920184476,1.1277834610810973,1.0402136120969605,3593.093931021879,1.0346649579686016,0.4854703771417277,0.5145296228582723,412.6897017441652,746.3847979785088,450.3871674302706,725.8862671483714,0.5222758017751119,0.4949902970087937,0.5271363196896584,0.4951183058209075,0.44184461892965415,0.4407187008573367,0.4409436485036757,0.4407482934134734,Dirty (0-20)
2230.691597413308,-0.7376914576005175,-0.6933704676783692,-0.6680858643688781,1899.6161220769495,-0.6872987862103815,0.29707889546351085,0.7029211045364891,217.5639694053786,409.3082155432511,255.70281874846938,403.8503941598914,0.2257733950613203,0.17116133995014748,0.22253439433833466,0.17242431235747904,0.05334868061269133,0.05211426807191597,0.05343145915679154,0.05216837395153073,Dirty (40-60)
1709.280415923381,-1.8421811882438583,-1.87012767052978,-1.801389361735031,1640.2555780318914,-1.8332182225974527,0.10718744910699744,0.8928125508930026,163.20571141419427,286.5384181251955,174.76837852738834,273.67199663513594,0.2302546310951594,0.17766093857775953,0.22425797418094048,0.17875967877899435,0.058654222483499587,0.05643877000324301,0.058498028323625474,0.05647165898327304,Dirty (80-100)
6545.9177496470775,-0.07109562562101414,-0.02654073655793141,-0.05584163157581999,6492.2794414152295,-0.054017319021916456,0.4842827952759066,0.5157172047240933,77.2634673346142,154.8379974173719,93.81148901788019,155.9528066971325,0.5634140252223571,0.5112622084946621,0.5593563537514921,0.5118369994564963,0.3464404643826332,0.34516454798546103,0.3458298510477548,0.3452183534795908,Dirty (80-100)
